1:1,2,7,3,2,5,8,4,3,5,7,1,7,3,2,1,8,5,9,8,3,3,8,3,9,9,9,1,1,2
2:5,8,5,1,8,5,8,6,3,3,1,3,7,2,1,5,2,9,1,5,6,6,5,2,7,1,3,6,7,2
3:4,1,2,5,3,4,2,6,3,6,8,7,3,8,8,6,1,6,3,1,3,5,9,2,1,6,9,4,3,4
4:1,5,2,2,8,7,7,7,4,7,1,6,8,5,5,4,5,8,4,8,5,8,5,3,3,5,4,6,9,5
5:8,6,6,8,5,3,8,3,2,9,8,4,9,7,2,1,1,8,1,4,6,4,6,3,2,2,5,9,6,7
6:7,4,1,7,1,7,9,6,4,5,8,9,3,2,4,7,6,8,1,3,3,6,5,3,9,6,9,7,8,6
7:2,4,7,7,6,5,9,1,7,8,9,5,6,4,2,5,7,2,5,3,3,4,7,3,3,1,7,8,5,1
8:9,2,6,1,1,1,1,9,7,2,9,5,5,2,1,7,3,6,7,6,6,7,8,7,6,1,9,2,7,3
9:7,2,1,9,1,9,7,4,2,5,4,3,8,5,5,7,3,5,4,6,5,9,6,9,7,5,7,6,9,2
10:3,4,7,4,4,7,9,4,7,7,7,7,7,2,2,5,9,7,7,2,6,1,4,3,1,9,6,9,1,5
11:7,1,7,3,2,8,2,3,3,6,6,9,8,5,4,2,3,5,4,9,8,3,5,4,4,6,8,5,8,7
12:8,7,1,9,7,2,1,8,4,9,2,2,1,2,4,7,4,2,4,6,9,7,9,3,4,5,9,8,5,2
13:1,9,4,4,3,3,5,1,9,7,5,6,5,8,2,8,4,5,2,2,9,1,8,9,6,3,2,3,1,3
14:4,6,8,8,3,6,8,2,4,4,3,3,5,2,4,5,6,4,1,5,6,8,8,6,3,4,2,8,1,8
15:1,4,1,3,5,3,3,9,2,1,3,1,5,1,6,1,1,6,7,7,8,6,7,1,5,1,9,2,6,9
16:5,6,2,6,7,2,9,3,2,5,2,2,3,8,3,2,3,1,2,9,1,6,9,4,7,9,7,9,8,2
17:6,1,3,5,2,8,3,8,4,1,7,5,4,5,5,2,6,8,6,8,6,9,8,9,8,2,7,5,2,5
18:9,6,3,2,3,6,8,1,5,2,8,5,4,3,2,9,6,7,1,2,2,7,8,8,2,9,3,6,5,9
19:9,7,6,5,4,5,9,1,6,5,5,1,2,4,7,8,5,4,1,6,9,4,4,4,2,5,1,3,8,4
20:5,5,8,8,1,6,4,2,2,1,3,7,9,7,3,4,5,6,2,5,6,6,8,6,5,1,2,5,9,1
21:1,6,2,9,7,5,2,1,3,7,1,7,4,2,1,4,1,3,4,7,7,8,5,8,9,1,4,3,7,5
22:4,7,5,3,5,3,2,7,5,9,2,9,1,6,4,4,8,8,8,3,5,2,3,4,9,2,3,7,4,9
23:5,1,1,4,5,4,9,6,7,5,8,9,8,3,8,7,2,7,6,7,8,5,4,7,5,1,1,9,8,2
24:6,9,2,8,6,3,3,9,9,6,4,4,2,9,9,1,6,7,9,6,6,7,5,5,9,6,8,2,1,7
25:4,2,8,9,9,4,4,7,8,9,1,7,5,4,9,2,6,4,2,6,1,7,6,3,3,7,5,7,9,5
26:1,5,9,8,9,7,3,1,2,4,1,1,3,7,6,7,3,7,3,1,7,6,8,7,5,7,2,2,1,3
27:1,3,2,9,6,2,3,9,3,5,3,3,7,8,9,5,1,1,7,8,9,8,2,7,7,1,6,2,5,1
28:5,2,2,3,3,4,9,8,6,9,4,9,1,8,4,2,9,6,5,2,4,7,1,2,1,3,7,8,5,6
29:2,5,7,3,4,3,2,6,6,1,6,9,7,9,3,9,2,2,3,7,7,5,4,7,6,1,4,3,2,7
30:5,8,7,1,2,2,2,1,5,8,4,2,1,4,8,2,8,8,3,7,5,8,7,7,1,5,2,8,8,4
31:4,6,8,7,4,3,7,4,3,3,4,7,6,1,5,3,9,1,3,5,6,1,2,3,8,3,7,7,1,8
32:4,6,6,8,8,9,5,5,7,8,4,5,8,3,7,2,7,2,9,4,8,9,1,7,8,5,3,3,5,4
33:5,3,7,7,6,3,1,7,2,5,3,5,8,8,5,3,2,9,9,9,7,6,3,9,9,9,4,7,6,2
34:5,8,7,4,2,6,7,3,7,8,7,9,4,4,7,8,9,3,3,4,7,3,5,7,1,3,8,1,2,7
35:8,3,7,3,4,8,6,2,4,2,5,2,9,1,3,3,4,1,9,3,4,6,1,3,8,9,2,5,3,4
36:6,3,2,4,2,1,1,7,1,7,5,6,8,9,9,1,6,9,1,8,4,9,5,7,7,4,2,5,8,2
37:8,5,7,9,3,4,1,1,4,8,3,4,2,8,5,7,5,5,8,6,9,5,2,5,1,7,1,6,3,7
38:7,6,7,3,7,8,7,2,5,4,9,2,8,2,1,4,5,2,1,7,6,3,1,9,2,7,5,3,6,9
39:7,6,2,8,4,5,7,6,3,2,3,5,1,6,4,6,1,3,5,9,6,9,6,8,5,1,6,5,5,1
40:1,7,9,8,1,4,9,8,3,4,3,3,9,1,3,6,4,2,8,9,3,1,4,5,2,3,4,8,2,3
41:7,4,8,3,4,4,8,5,5,4,4,8,2,6,5,8,7,3,3,9,5,9,6,9,4,7,4,5,3,6
42:8,5,7,3,9,4,1,5,1,6,5,7,8,9,5,6,4,1,9,5,8,1,6,9,2,2,2,4,4,5
43:8,6,6,3,2,5,8,6,6,5,2,5,5,4,2,3,6,3,1,8,3,4,3,9,4,1,2,4,7,4
44:1,5,6,2,2,2,6,1,8,3,9,4,4,3,8,9,5,4,7,5,6,2,4,7,2,8,6,5,2,3
45:9,1,1,6,8,2,6,5,3,8,1,3,6,4,9,9,5,1,8,1,4,2,4,1,3,7,4,2,6,7
46:8,9,1,2,4,8,3,1,9,9,3,5,9,9,7,5,9,1,5,2,9,5,5,4,6,9,3,3,6,2
47:7,8,2,5,1,9,9,5,5,3,3,7,1,6,3,1,7,2,4,5,5,4,8,7,4,7,5,9,6,8
48:8,9,1,1,1,7,1,2,6,4,2,7,1,5,6,2,8,6,5,7,4,3,6,6,3,8,1,3,4,9
49:8,3,9,7,6,7,7,7,6,1,3,9,6,8,9,8,8,7,4,3,9,9,8,7,4,5,5,8,5,3
50:3,3,6,9,9,9,8,6,2,1,9,6,3,2,4,8,5,7,6,6,4,3,7,2,6,2,5,8,2,7
51:6,7,9,5,7,1,8,5,3,6,5,6,6,9,6,1,9,6,5,6,3,3,4,7,8,3,2,3,4,8
52:6,3,3,3,1,8,8,1,1,4,7,8,7,2,7,1,2,4,7,6,5,6,7,8,3,5,4,8,2,5
53:5,1,8,1,6,8,8,8,5,6,5,2,4,8,3,1,4,6,4,4,3,8,8,8,7,7,3,1,5,8
54:4,4,2,5,1,7,1,9,3,4,5,5,6,6,4,1,2,6,3,3,8,5,1,6,3,5,1,8,3,1
55:6,9,6,8,7,7,7,4,4,7,6,7,1,9,5,1,5,7,1,8,6,9,5,3,8,6,8,3,9,3
56:5,2,5,8,6,9,8,1,1,7,9,2,6,6,4,7,7,9,6,7,2,1,2,2,4,6,5,2,7,5
57:5,4,5,8,2,4,7,7,8,1,1,2,2,8,3,1,3,9,2,7,5,8,2,1,8,2,2,1,7,2
58:3,9,1,5,2,5,9,8,4,7,8,9,3,5,2,7,5,9,2,6,7,6,2,3,6,7,6,6,1,9
59:5,6,3,8,4,7,1,8,9,1,5,7,8,3,5,6,5,3,2,3,2,5,9,5,6,7,4,3,5,5
60:1,3,3,8,5,4,3,9,4,6,5,9,4,8,7,5,1,6,2,7,9,2,1,4,9,1,7,9,3,1
61:2,4,6,7,6,5,3,2,8,1,2,7,9,7,3,9,2,5,2,9,3,4,1,7,4,6,4,2,6,6
62:3,3,3,2,6,1,1,1,6,7,1,8,6,8,6,8,4,7,5,5,3,5,7,7,9,5,9,5,6,6
63:9,9,5,7,2,7,8,1,4,9,8,6,7,1,7,4,6,9,3,5,4,9,9,6,3,3,5,6,9,5
64:2,3,8,2,7,1,4,8,9,4,4,5,7,8,1,1,8,4,9,9,5,3,5,3,8,1,1,4,2,4
65:5,1,8,4,2,9,9,1,6,8,9,1,5,6,8,3,1,7,6,2,1,9,2,4,1,4,7,5,8,1
66:2,1,6,7,8,7,9,1,5,7,6,9,4,3,1,3,8,4,5,2,7,5,7,9,8,8,4,1,1,9
67:5,2,2,9,5,6,9,7,3,1,7,9,9,3,2,8,7,4,4,4,4,7,9,1,3,6,1,1,3,5
68:1,9,7,4,1,2,3,7,8,7,9,9,2,5,8,2,7,8,9,6,1,8,6,8,5,1,9,4,9,5
69:2,9,1,2,7,3,1,3,2,9,3,6,8,1,1,7,8,6,9,3,7,3,4,4,7,9,4,9,1,3
70:2,3,2,5,9,9,8,5,2,5,6,8,6,6,4,8,3,3,9,1,4,2,9,3,2,7,4,3,1,6
71:5,6,4,5,6,4,5,1,6,6,8,6,3,9,4,7,2,4,4,3,1,5,3,2,4,6,6,3,9,6
72:2,3,7,8,8,1,2,8,2,8,5,9,7,8,2,4,9,1,1,5,2,1,1,7,3,5,6,9,9,4
73:8,2,2,6,8,3,5,8,2,2,7,1,2,6,5,2,4,8,3,6,4,8,3,6,8,5,3,9,2,1
74:5,9,3,3,7,6,3,4,6,6,4,3,6,6,9,9,5,4,4,8,4,1,1,4,5,9,6,8,4,3
75:6,3,4,4,6,6,3,8,5,5,7,2,4,6,1,9,8,1,2,4,7,9,1,2,9,4,1,3,4,5
76:1,5,5,6,8,6,1,1,1,8,5,5,6,6,8,5,8,9,6,9,6,4,3,7,2,5,4,3,9,8
77:6,3,3,3,1,9,4,8,7,3,3,7,9,4,2,8,6,4,4,1,1,1,8,7,8,4,1,6,9,3
78:8,8,5,1,6,7,7,8,3,8,7,1,6,6,6,4,9,5,2,9,6,9,2,7,8,3,4,6,8,8
79:8,4,7,6,1,1,6,5,8,7,7,6,2,6,3,2,2,3,7,4,9,9,7,1,7,1,3,1,5,1
80:5,5,6,7,9,6,7,8,7,7,9,3,3,4,9,8,3,9,5,5,5,1,2,2,4,8,6,7,2,9
81:3,2,9,4,3,6,3,1,6,6,8,3,7,1,9,7,6,3,3,9,9,2,2,3,6,1,6,2,9,8
82:8,4,4,9,5,7,7,4,6,8,3,3,2,2,2,3,6,3,5,6,4,5,4,8,6,5,5,3,5,5
83:5,8,9,5,8,5,9,3,5,1,2,4,4,7,8,2,4,5,1,6,7,5,3,4,3,6,3,1,8,8
84:8,6,3,5,5,3,4,6,1,3,7,7,3,5,7,7,1,7,2,1,9,1,6,5,7,1,4,3,8,4
85:8,1,1,1,5,9,2,4,1,5,3,7,7,1,7,5,3,9,5,2,5,7,2,7,1,1,1,3,4,1
86:9,8,6,8,2,1,9,9,5,2,3,5,1,5,7,3,3,7,2,6,9,8,6,4,1,7,7,2,6,5
87:2,6,3,8,1,6,3,3,9,7,4,9,6,3,2,8,4,4,1,5,4,6,1,8,2,9,6,2,5,5
88:8,1,9,1,8,6,4,3,5,7,8,6,6,4,1,1,9,7,5,3,1,4,1,1,7,2,7,8,4,2
89:8,9,4,2,6,7,3,7,4,6,5,4,5,4,7,5,6,6,9,5,5,1,9,8,8,2,5,3,7,3
90:9,2,3,4,6,4,1,7,2,3,2,6,5,1,3,4,5,9,4,4,3,8,5,3,6,2,7,5,9,8
91:6,1,9,1,3,3,9,7,3,4,5,9,9,9,5,9,2,6,8,4,1,2,9,7,9,4,3,8,1,4
92:4,6,2,2,3,8,5,7,4,1,9,6,1,4,4,8,6,2,2,8,5,4,3,6,8,9,3,6,9,4
93:6,1,7,7,9,4,1,2,7,2,2,8,7,4,5,8,9,1,8,2,6,9,9,3,5,5,1,7,1,6
94:6,8,1,2,6,4,8,5,8,1,8,2,7,6,7,9,9,2,6,9,5,2,9,9,7,7,8,4,6,6
95:8,2,7,3,2,1,7,8,7,2,5,2,2,5,1,6,8,8,9,9,5,8,9,7,3,6,5,3,6,6
96:5,7,9,7,8,5,6,4,9,2,9,4,7,5,4,2,3,9,1,4,6,5,3,8,1,9,2,2,3,2
97:6,5,1,7,9,9,9,2,8,8,8,1,7,8,7,4,3,6,6,5,2,7,2,9,4,4,5,4,1,8
98:3,3,1,5,8,1,2,8,2,2,9,5,4,9,1,4,7,1,5,5,7,3,1,9,4,9,1,9,1,4
99:7,7,4,3,1,4,8,1,6,5,2,4,7,2,3,7,6,4,8,2,9,3,5,2,1,6,4,3,5,9
100:1,6,1,8,3,7,1,9,8,2,3,2,8,1,5,2,8,6,6,5,4,1,9,6,7,3,7,2,5,4
